@@,item,name,party,partylabel,area,arealabel,startdate,enddate,gender
->,Q111342338,Abba Malla,Q953447,RDPC->CPDM,,NULL->FAR-NORTH,2013-10-29,2019-12-29,
---,Q111342340,Aboubakar Ibrahim,Q953447,RDPC,,,2013-10-29,2019-12-29,
->,Q111342342,Adama Épse Djibrine,Q953447,RDPC->CPDM,Q823976,Far North->ADAMAWA,2013-10-29,2019-12-29,NULL->female
->,Q111342346,Adji Amadou,Q953447->Q6979097,RDPC->NUDP,Q823976,Far North->FAR-NORTH,2013-10-29,2019-12-29,
->,Q111342497,Ahmadou Dahirou,Q6979097->Q953447,UNDP->CPDM,Q351514,Adamawa->ADAMAWA,2013-10-29,2019-12-29,
---,Q23001643,Albert Kouinche,Q953447,RDPC,Q165784,West Region,2013-10-29,2019-12-29,male
->,Q111340975,Ali Adjit,Q953447,RDPC->CPDM,Q823976,Far North->FAR-NORTH,2013-10-29,2019-12-29,NULL->male
->,Q111342345,Ali Bachir,Q953447,RDPC->CPDM,,NULL->FAR-NORTH,2013-10-29,2019-12-29,NULL->male
---,Q111340976,Ali Mamouda,Q953447,RDPC,,,2013-10-29,2019-12-29,
->,Q111340978,Aliyoum Fadil,Q953447,RDPC->CPDM,,NULL->NORTH,2013-10-29,2019-12-29,NULL->male
---,Q111342347,Amadou Mohaman,Q6979097,UNDP,Q502341,North Region,2013-10-29,2019-12-29,
+++,"",Aminatou,Q953447,CPDM,"",ADAMAWA,"","",female
---,Q111340982,Atangana Aligui Celine Catherine Épouse Mendouga,Q953447,RDPC,Q857122,South Region,2013-10-29,2019-12-29,
---,Q111340983,Ateawung Foju Bernard,Q953447,RDPC,Q607499,Southwest Region,2013-10-29,2019-12-29,
---,Q111365374,Atewung Foju Bernard,Q953447,RDPC,Q857122,South Region,2013-10-29,2019-12-29,
---,Q111342348,Awudu Mbaya Cyprian,Q1470113,SDF,Q823946,Northwest Region,2013-10-29,2019-12-29,
---,Q111340987,Bara Julien,Q953447,RDPC,,,2013-10-29,2019-12-29,
->,Q111342509,Barnabé Eloundou,Q953447,RDPC->CPDM,Q739951,Centre->CENTRE,2013-10-29,2019-12-29,NULL->male
---,Q111342493,Bekono Ebah Épouse Pauline Ndoumou,Q953447,RDPC,Q857122,South Region,2013-10-29,2019-12-29,
---,Q111340990,Bello Limane,Q953447,RDPC,,,2013-10-29,2019-12-29,
->,Q111342557,Bernadette Ndeungue Nya,Q953447,RDPC->CPDM,Q165784,West Region->WEST,2013-10-29,2019-12-29,NULL->female
